Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Fossil,Mt CO2/yr,1.337042411,17.21997539,93.63652786,453.8591703,1037.531463,1293.28237,1213.016004,1353.220701,976.7243061,797.7223072,674.7640925,587.358761,541.3631255,500.5173479,458.9847067,411.0890341,374.0365787
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,1.337042411,17.21997539,93.61043342,398.3341569,896.0101547,1076.981242,1034.170295,996.5488711,815.6833219,685.7972486,583.0733661,502.8715603,448.2035364,412.4860901,382.3507914,350.8161333,319.5545622
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,0,0,0.026094444,55.52501336,141.5213086,216.3011282,178.8457088,356.67183,161.0409842,111.9250587,91.69072639,84.48720077,93.15958905,88.0312578,76.63391531,60.27290086,54.48201643
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,0,0,0.026094444,49.06126691,123.905025,189.3504511,126.061262,223.2507247,61.14026047,24.95199047,16.90374899,17.11289736,22.65069707,23.8462408,21.45687413,15.9494492,14.23673524
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,0,0,0,6.463746448,17.61628365,26.95067711,52.78444677,133.4211053,99.90072373,86.97306819,74.78697739,67.37430341,70.50889199,64.185017,55.17704118,44.32345166,40.24528119
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Carbon Sequestration|CCS|Industrial Processes,Mt CO2/yr,0,15.14650455,67.77209193,204.047097,397.9366185,531.8824138,645.5353174,937.8229413,984.0095784,921.0875699,857.1811461,796.5193255,748.4005201,702.0488414,653.8383563,605.0234401,559.6782017
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|BC,Mt BC/yr,3.144851196,2.748658943,2.526438248,2.071235025,1.769527703,1.539345623,1.268233596,0.93031028,0.707485789,0.590966113,0.532092191,0.50678862,0.486989099,0.503290595,0.503336716,0.505473461,0.510484187
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|BC|AFOLU,Mt BC/yr,0.229595731,0.226009034,0.192529546,0.185295678,0.202219217,0.227186447,0.221076857,0.158638255,0.16508804,0.148847253,0.143971214,0.14144135,0.139478836,0.149513677,0.145607056,0.143472098,0.141217652
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|BC|Energy,Mt BC/yr,2.755127718,2.369224141,2.184060847,1.735028176,1.416065586,1.160771467,0.896707633,0.623178869,0.395578984,0.297470861,0.245969321,0.225976655,0.211225109,0.220810372,0.228147924,0.235788521,0.246426731
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|BC|Energy|Demand|Industry,Mt BC/yr,0.833602077,0.813327653,0.809825523,0.703468167,0.612368692,0.518416656,0.403722913,0.292185775,0.17058191,0.107410961,0.07431412,0.057070056,0.044182104,0.046827087,0.048586918,0.051041905,0.05506319
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|BC|Energy|Demand|Residential and Commercial,Mt BC/yr,1.101097989,0.810580758,0.665566138,0.383561437,0.256886194,0.16626698,0.098074265,0.053460576,0.027625583,0.016382557,0.009731275,0.006572565,0.004402819,0.004687654,0.004590319,0.004340671,0.004161731
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|BC|Energy|Demand|Transportation,Mt BC/yr,0.569324961,0.552447179,0.541464256,0.494414302,0.465686333,0.43467057,0.364154159,0.268500766,0.194673139,0.171135648,0.159706331,0.160283385,0.160934258,0.167255618,0.172597381,0.177670013,0.183941767
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|BC|Energy|Supply,Mt BC/yr,0.251102692,0.192868552,0.16720493,0.153584271,0.081124367,0.04141726,0.030756296,0.009031752,0.002698351,0.002541696,0.002217595,0.002050649,0.001705928,0.002040014,0.002373306,0.002735932,0.003260043
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|C2F6,kt C2F6/yr,0.978745713,1.199463876,1.356089835,1.085139197,1.026697226,0.97250412,0.859430331,0.8440572,0.832435863,0.842833289,0.837335814,0.822619974,0.798557565,0.775848701,0.748378585,0.719303655,0.69172443
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|CF4,kt CF4/yr,2.986900672,3.667483539,4.441756594,3.9447337,3.86790573,3.62458926,2.68103383,2.398631193,2.213820547,2.118602971,1.96185075,1.77343444,1.55640609,1.33581829,1.10102757,0.859610276,0.63542126
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|CH4,Mt CH4/yr,137.7015101,138.9197,144.4213491,128.1020242,116.6421198,102.4987062,90.01075424,80.52645095,74.24999904,70.1239719,66.86131961,64.87362433,62.77865473,61.3808067,59.33651541,56.97015356,54.66646297
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|CH4|AFOLU,Mt CH4/yr,67.55840135,69.64631687,70.3909597,68.95817264,65.1774032,59.23514099,54.16049909,51.21441077,49.9754244,48.50249816,47.52348882,46.9934236,46.33552605,45.35695679,43.96740141,42.53125039,41.15646584
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Emissions|CH4|Energy,Mt CH4/yr,39.16486952,37.95460575,42.84795939,30.83110375,25.0060898,18.75587104,12.9535488,8.377749499,5.166910211,3.755356842,2.7557722,2.292088969,1.989047256,2.13713881,2.207656484,2.065091026,1.955014414
